Date,Delhi,Mumbai,Chennai,Kolkata
NA,66.31,69.4,70.01,68.05
NA,66.26,69.35,69.96,68
NA,66.19,69.27,69.89,67.93
NA,66.11,69.19,69.8,67.85
NA,66.14,69.22,69.83,67.88
NA,66.09,69.17,69.78,67.83
NA,66.14,69.27,69.88,67.92
NA,66.22,69.36,69.97,68
NA,66.3,69.44,70.05,68.08
NA,66.39,69.54,70.15,68.18
NA,66.49,69.64,70.26,68.28
NA,66.6,69.76,70.37,68.39
NA,66.65,69.81,70.43,68.44
NA,66.72,69.89,70.5,68.51
NA,66.8,69.97,70.59,68.59
NA,66.91,70.09,70.71,68.7
NA,67.06,70.25,70.87,68.85
NA,67.15,70.34,70.96,68.94
NA,67.22,70.42,71.04,69.01
NA,67.32,70.52,71.15,69.11
NA,67.37,70.58,71.2,69.16
NA,67.44,70.65,71.27,69.23
NA,67.54,70.76,71.38,69.33
NA,67.64,70.86,71.49,69.43
NA,67.41,70.62,71.24,69.2
NA,67.27,70.47,71.09,69.06
NA,67.12,70.31,70.93,68.91
NA,67,70.18,70.8,68.79
NA,66.92,70.1,70.72,68.71
NA,66.64,69.8,70.42,68.43
NA,66.55,69.71,70.32,68.34
NA,66.48,69.63,70.25,68.27
NA,66.33,69.47,70.09,68.12
NA,66.17,69.3,69.91,67.95
NA,66.11,69.23,69.84,67.89
NA,65.98,69.09,69.7,67.76
NA,65.86,68.97,69.57,67.64
NA,65.73,68.83,69.44,67.51
NA,65.67,68.76,69.37,67.45
NA,65.62,68.71,69.32,67.4
NA,65.56,68.65,69.25,67.34
NA,65.51,68.59,69.2,67.29
NA,65.61,68.7,69.31,67.39
NA,65.71,68.81,69.41,67.49
NA,65.81,68.91,69.52,67.59
NA,65.89,69,69.61,67.67
NA,66,69.11,69.72,67.78
NA,65.9,69.01,69.62,67.68
NA,65.45,68.53,69.14,67.23
NA,65.16,68.22,68.83,66.93
NA,64.97,68.02,68.62,66.74
NA,64.78,67.82,68.42,66.55
NA,64.59,67.62,68.22,66.36
NA,64.47,67.49,68.09,66.24
NA,64.18,67.18,67.78,65.95
NA,63.69,66.66,67.25,65.46
NA,63.1,66.04,66.62,64.87
NA,62.81,65.73,66.31,64.58
NA,62.53,65.43,66.01,64.3
NA,62.24,65.12,65.7,64.01
NA,62.16,65.04,65.62,63.93
NA,62.26,65.14,65.72,64.03
NA,62.44,65.34,65.91,64.21
NA,62.66,65.56,66.14,64.42
NA,62.86,65.76,66.35,64.61
NA,63.09,66.01,66.59,64.84
NA,63.32,66.25,66.84,65.07
NA,63.62,66.57,67.16,65.37
NA,63.76,66.72,67.31,65.51
NA,63.83,66.79,67.38,65.59
NA,64.01,66.98,67.58,65.77
NA,64.19,67.17,67.77,65.95
NA,64.39,67.39,67.98,66.15
NA,64.54,67.55,68.14,66.3
NA,64.47,67.47,68.07,66.23
NA,64.38,67.38,67.97,66.14
NA,64.5,67.5,68.1,66.26
NA,64.57,67.58,68.18,66.33
NA,64.66,67.66,68.26,66.4
NA,64.66,67.66,68.26,67.4
NA,64.82,67.81,68.41,66.55
NA,65.09,68.1,68.7,66.82
NA,65.3,68.32,68.93,67.03
NA,65.55,68.59,69.19,67.28
NA,65.96,69.02,69.63,67.69
NA,66.39,69.48,70.09,68.12
NA,66.66,69.77,70.38,68.39
NA,67.02,70.15,70.77,68.75
NA,67.35,70.5,71.12,69.08
NA,67.72,70.89,71.52,69.57
NA,68.13,71.33,71.95,69.98
NA,68.49,71.71,72.34,70.34
NA,68.89,72.13,72.77,70.74
NA,69.29,72.56,73.2,71.14
NA,69.7,72.99,73.63,71.55
NA,70.16,73.48,74.13,72.01
NA,70.56,73.91,74.55,72.41
NA,70.97,74.34,74.99,72.83
NA,71.27,74.66,75.31,73.13
NA,71.39,74.79,75.44,73.25
NA,71.56,74.97,75.63,73.42
NA,71.74,75.16,75.82,73.6
NA,71.93,75.36,76.02,73.79
NA,72.09,75.53,76.19,73.95
NA,72.19,75.64,76.3,74.05
NA,72.31,75.76,76.43,74.17
NA,72.46,75.92,76.59,74.32
NA,72.58,76.05,76.72,74.44
NA,72.74,76.22,76.89,74.6
NA,72.89,76.38,77.05,74.75
NA,73.07,76.57,77.24,74.93
NA,73.16,76.67,77.34,75.02
NA,73.36,76.88,77.55,75.22
NA,73.53,77.06,77.73,75.39
NA,73.64,77.18,77.85,75.5
NA,73.78,77.32,78,75.63
NA,73.85,77.4,78.08,75.7
NA,74.05,77.61,78.29,75.9
NA,74.38,77.96,78.64,76.23
NA,74.73,78.33,79.02,76.58
NA,74.8,78.41,79.09,76.65
NA,74.85,78.46,79.15,76.7
NA,74.92,78.54,79.22,76.77
NA,75.19,78.82,79.51,77.04
NA,75.36,79,79.69,77.21
NA,75.48,79.13,79.82,77.33
NA,75.58,79.24,79.93,77.43
NA,75.69,79.35,80.04,77.54
NA,75.46,79.11,79.8,77.31
NA,75.38,79.02,79.71,77.23
NA,74.9,78.51,79.2,76.75
NA,74.62,78.22,78.9,76.47
NA,74.35,77.93,78.61,76.2
NA,74.11,77.68,78.35,75.96
NA,73.82,77.37,78.04,75.67
NA,73.53,77.06,77.73,75.38
NA,73.24,76.75,77.42,75.09
NA,72.95,77.45,77.11,74.8
NA,75.45,80.1,79.79,77.3
NA,75.25,79.89,79.57,77.1
NA,75.09,79.72,79.4,76.94
NA,74.79,79.4,79.08,76.64
NA,74.63,79.23,78.91,76.48
NA,74.42,79.01,78.69,76.27
NA,74.24,78.82,78.49,76.09
NA,74.12,78.69,78.36,75.97
NA,74.02,78.58,78.26,75.87
NA,73.97,78.53,78.2,75.82
NA,73.87,78.42,78.1,75.72
NA,73.78,78.33,78,75.63
NA,73.72,78.26,77.94,75.57
NA,73.54,78.07,77.74,75.39
NA,73.3,77.82,77.49,75.15
NA,73.08,77.58,77.25,74.93
NA,72.97,77.47,77.13,74.82
NA,72.97,77.47,77.13,75.82
NA,72.83,77.32,76.98,75.68
NA,72.61,77.09,76.75,75.46
NA,72.51,76.98,76.64,75.36
NA,72.07,76.51,76.17,74.92
NA,71.55,75.96,75.61,74.4
NA,71.34,75.74,75.39,74.19
NA,71.15,75.54,75.19,74
NA,70.76,75.12,74.77,73.61
NA,70.42,74.76,74.41,73.27
NA,70.21,74.54,74.18,73.06
NA,69.93,74.24,73.88,72.78
NA,69.75,74.05,73.69,72.6
NA,69.61,73.9,73.54,72.46
NA,69.46,73.74,73.38,72.31
NA,69.32,73.59,73.23,72.16
NA,69.18,73.44,73.08,72.02
NA,69.1,73.36,72.99,71.94
NA,69.04,73.3,72.93,71.88
NA,68.92,73.17,72.8,71.76
NA,68.86,73.1,72.74,71.7
NA,68.78,73.02,72.65,71.62
NA,68.72,72.96,72.59,71.56
NA,68.77,73.01,72.64,71.61
NA,68.71,72.94,72.57,71.55
NA,68.57,72.8,72.43,71.41
NA,68.5,72.72,72.35,71.31
NA,68.44,72.66,72.29,71.22
NA,68.32,72.53,72.16,71.1
NA,68.2,72.4,72.03,70.98
NA,68.02,72.21,71.84,70.8
NA,67.93,72.12,71.74,70.69
